; CSV, generated by libsigrok4DSL 0.2.0 on Fri Jul 28 23:30:36 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 25.960 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.00500012,1,0,0,0
0.00501446,1,0,0,1
0.0050514,0,0,0,1
0.0050515,1,0,0,1
0.00506574,0,0,1,1
0.00506582,1,0,1,1
0.00507824,1,0,0,1
0.00508008,0,0,0,1
0.00508016,1,0,0,1
0.0050944,0,0,0,1
0.00509442,0,0,1,1
0.0050945,1,0,1,1
0.0051069,1,0,0,1
0.00510874,0,0,0,1
0.00510882,1,0,0,1
0.00512308,0,0,0,1
0.00512316,1,0,0,1
0.0051374,0,0,0,1
0.00513742,0,0,1,1
0.0051375,1,0,1,1
0.0051499,1,0,0,1
0.00515174,0,0,0,1
0.00515182,1,0,0,1
0.00516608,0,0,0,1
0.00516616,1,0,0,1
0.0051804,0,0,0,1
0.0051805,1,0,0,1
0.00519474,0,0,0,1
0.00519482,1,0,0,1
0.00520908,0,0,0,1
0.00520916,1,0,0,1
0.0052234,0,0,0,1
0.0052235,1,0,0,1
0.00523774,0,0,0,1
0.00523782,1,0,0,1
0.00525208,0,0,0,1
0.00525216,1,0,0,1
0.0052664,0,0,0,1
0.0052665,1,0,0,1
0.00528074,0,0,0,1
0.00528082,1,0,0,1
0.00529508,0,0,0,1
0.00529516,1,0,0,1
0.0053094,0,0,0,1
0.0053095,1,0,0,1
0.00532374,0,0,0,1
0.00532382,1,0,0,1
0.00533808,0,0,0,1
0.00533816,1,0,0,1
0.0053524,0,0,0,1
0.00535248,1,0,0,1
0.00536674,0,0,1,1
0.00536682,1,0,1,1
0.00537924,1,0,0,1
0.00538106,0,0,0,1
0.00538116,1,0,0,1
0.0053954,0,0,0,1
0.00539548,1,0,0,1
0.00540974,0,0,0,1
0.00540982,1,0,0,1
0.00542406,0,0,0,1
0.00542408,0,0,1,1
0.00542416,1,0,1,1
0.00543656,1,0,0,1
0.0054384,0,0,0,1
0.00543848,1,0,0,1
0.00545274,0,1,0,1
0.00545282,1,1,0,1
0.00546524,1,0,0,1
0.00546706,0,0,0,1
0.00546716,1,0,0,1
0.0054814,0,0,0,1
0.00548148,1,0,0,1
0.00549574,0,0,0,1
0.00549582,1,0,0,1
0.00551006,0,0,0,1
0.00551016,1,0,0,1
0.0055244,0,0,0,1
0.00552448,1,0,0,1
0.00553874,0,0,0,1
0.00553882,1,0,0,1
0.00555306,0,0,0,1
0.00555316,1,0,0,1
0.0055674,0,0,1,1
0.00556748,1,0,1,1
0.0055799,1,0,0,1
0.00558174,0,0,0,1
0.00558182,1,0,0,1
0.00559606,0,0,0,1
0.00559608,0,1,0,1
0.00559616,1,1,0,1
0.00560856,1,0,0,1
0.0056104,0,0,1,1
0.00561048,1,0,1,1
0.0056229,1,0,0,1
0.00562474,0,0,1,1
0.00562482,1,0,1,1
0.00563724,1,0,0,1
0.00563906,0,0,0,1
0.00563908,0,1,0,1
0.00563916,1,1,0,1
0.00565156,1,0,0,1
0.0056534,0,0,0,1
0.00565348,1,0,0,1
0.00566774,0,0,0,1
0.00566782,1,0,0,1
0.00568206,0,0,0,1
0.00568214,1,0,0,1
0.0056964,0,0,1,1
0.00569648,1,0,1,1
0.0057089,1,0,0,1
0.00571074,0,0,0,1
0.00571082,1,0,0,1
0.00572506,0,0,0,1
0.00572514,1,0,0,1
0.0057394,0,0,0,1
0.00573948,1,0,0,1
0.00575374,0,0,0,1
0.00575382,1,0,0,1
0.00576806,0,0,0,1
0.00576814,1,0,0,1
0.0057824,0,1,0,1
0.00578248,1,1,0,1
0.0057949,1,0,0,1
0.00579672,0,0,0,1
0.00579682,1,0,0,1
0.00581106,0,0,0,1
0.00581114,1,0,0,1
0.0058254,0,1,0,1
0.00582548,1,1,0,1
0.0058379,1,0,0,1
0.00583972,0,0,0,1
0.00583982,1,0,0,1
0.00585406,0,0,0,1
0.00585414,1,0,0,1
0.0058684,0,1,0,1
0.00586848,1,1,0,1
0.0058809,1,0,0,1
0.00588272,0,0,0,1
0.00588274,0,1,0,1
0.00588282,1,1,0,1
0.00589522,1,0,0,1
0.00589706,0,0,0,1
0.00589714,1,0,0,1
0.0059114,0,0,1,1
0.00591148,1,0,1,1
0.0059239,1,0,0,1
0.00592572,0,0,0,1
0.00592574,0,0,1,1
0.00592582,1,0,1,1
0.00593822,1,0,0,1
0.00594006,0,0,0,1
0.00594014,1,0,0,1
0.0059544,0,0,0,1
0.00595448,1,0,0,1
0.00596872,0,0,0,1
0.00596882,1,0,0,1
0.00598306,0,0,0,1
0.00598314,1,0,0,1
0.0059974,0,0,0,1
0.00599748,1,0,0,1
