; CSV, generated by libsigrok4DSL 0.2.0 on Sat Jul 29 19:19:58 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 50.896 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.01000024,1,0,0,0
0.01001456,1,0,0,1
0.01005152,0,0,1,1
0.01005162,1,0,1,1
0.01006402,1,0,0,1
0.01006586,0,0,0,1
0.01006594,1,0,0,1
0.0100802,0,0,0,1
0.01008028,1,0,0,1
0.01009452,0,0,0,1
0.0100946,1,0,0,1
0.01010886,0,0,0,1
0.01010894,1,0,0,1
0.01012318,0,0,0,1
0.01012328,1,0,0,1
0.01013752,0,0,0,1
0.0101376,1,0,0,1
0.01015186,0,0,1,1
0.01015194,1,0,1,1
0.01016436,1,0,0,1
0.01016618,0,0,0,1
0.01016628,1,0,0,1
0.01018052,0,0,0,1
0.0101806,1,0,0,1
0.01019486,0,0,1,1
0.01019494,1,0,1,1
0.01020736,1,0,0,1
0.01020918,0,0,0,1
0.01020928,1,0,0,1
0.01022352,0,0,0,1
0.0102236,1,0,0,1
0.01023786,0,0,0,1
0.01023794,1,0,0,1
0.01025218,0,0,0,1
0.01025228,1,0,0,1
0.01026652,0,0,0,1
0.0102666,1,0,0,1
0.01028086,0,0,0,1
0.01028094,1,0,0,1
0.01029518,0,0,0,1
0.01029528,1,0,0,1
0.01030952,0,0,0,1
0.0103096,1,0,0,1
0.01032386,0,0,0,1
0.01032394,1,0,0,1
0.01033818,0,0,0,1
0.01033828,1,0,0,1
0.01035252,0,0,0,1
0.0103526,1,0,0,1
0.01036686,0,0,0,1
0.01036694,1,0,0,1
0.01038118,0,0,0,1
0.01038128,1,0,0,1
0.01039552,0,0,0,1
0.0103956,1,0,0,1
0.01040986,0,0,0,1
0.01040994,1,0,0,1
0.01042418,0,0,0,1
0.01042426,1,0,0,1
0.01043852,0,0,0,1
0.0104386,1,0,0,1
0.01045286,0,0,0,1
0.01045294,1,0,0,1
0.01046718,0,0,0,1
0.01046726,1,0,0,1
0.01048152,0,0,0,1
0.0104816,1,0,0,1
0.01049584,0,0,0,1
0.01049594,1,0,0,1
0.01051018,0,0,0,1
0.01051026,1,0,0,1
0.01052452,0,0,0,1
0.0105246,1,0,0,1
0.01053884,0,0,0,1
0.01053894,1,0,0,1
0.01055318,0,0,0,1
0.01055326,1,0,0,1
0.01056752,0,0,0,1
0.0105676,1,0,0,1
0.01058184,0,0,0,1
0.01058186,0,1,0,1
0.01058194,1,1,0,1
0.01059434,1,0,0,1
0.01059618,0,0,0,1
0.01059626,1,0,0,1
0.01061052,0,0,0,1
0.0106106,1,0,0,1
0.01062484,0,0,0,1
0.01062494,1,0,0,1
0.01063918,0,0,0,1
0.01063926,1,0,0,1
0.01065352,0,0,0,1
0.0106536,1,0,0,1
0.01066784,0,0,0,1
0.01066794,1,0,0,1
0.01068218,0,0,0,1
0.01068226,1,0,0,1
0.01069652,0,0,0,1
0.0106966,1,0,0,1
0.01071084,0,0,0,1
0.01071094,1,0,0,1
0.01072518,0,0,0,1
0.01072526,1,0,0,1
0.01073952,0,0,0,1
0.0107396,1,0,0,1
0.01075384,0,0,0,1
0.01075394,1,0,0,1
0.01076818,0,0,0,1
0.01076826,1,0,0,1
0.01078252,0,0,0,1
0.0107826,1,0,0,1
0.01079684,0,0,0,1
0.01079692,1,0,0,1
0.01081118,0,0,0,1
0.01081126,1,0,0,1
0.01082552,0,0,0,1
0.0108256,1,0,0,1
0.01083984,0,0,0,1
0.01083992,1,0,0,1
0.01085418,0,0,0,1
0.01085426,1,0,0,1
0.0108685,0,0,0,1
0.0108686,1,0,0,1
0.01088284,0,0,0,1
0.01088292,1,0,0,1
0.01089718,0,0,0,1
0.01089726,1,0,0,1
0.0109115,0,0,0,1
0.0109116,1,0,0,1
0.01092584,0,0,0,1
0.01092592,1,0,0,1
0.01094018,0,0,0,1
0.01094026,1,0,0,1
0.0109545,0,0,0,1
0.0109546,1,0,0,1
0.01096884,0,0,0,1
0.01096892,1,0,0,1
0.01098318,0,0,0,1
0.01098326,1,0,0,1
0.0109975,0,0,0,1
0.0109976,1,0,0,1
0.01101184,0,0,0,1
0.01101192,1,0,0,1
0.01102618,0,0,0,1
0.01102626,1,0,0,1
0.0110405,0,0,0,1
0.0110406,1,0,0,1
0.01105484,0,0,0,1
0.01105492,1,0,0,1
0.01106918,0,0,0,1
0.01106926,1,0,0,1
0.0110835,0,0,0,1
0.0110836,1,0,0,1
0.01109784,0,0,0,1
0.01109792,1,0,0,1
0.01111218,0,0,0,1
0.01111226,1,0,0,1
0.0111265,0,0,0,1
0.0111266,1,0,0,1
0.01114084,0,0,0,1
0.01114092,1,0,0,1
0.01115518,0,0,0,1
0.01115526,1,0,0,1
0.0111695,0,0,0,1
0.01116958,1,0,0,1
0.01118384,0,0,0,1
0.01118392,1,0,0,1
0.01119818,0,0,0,1
0.01119826,1,0,0,1
0.0112125,0,0,0,1
0.01121258,1,0,0,1
0.01122684,0,0,0,1
0.01122692,1,0,0,1
0.01124116,0,0,0,1
0.01124126,1,0,0,1
0.0112555,0,0,0,1
0.01125558,1,0,0,1
0.01126984,0,0,0,1
0.01126992,1,0,0,1
0.01128416,0,0,0,1
0.01128426,1,0,0,1
0.0112985,0,0,0,1
0.01129858,1,0,0,1
0.01131284,0,0,0,1
0.01131292,1,0,0,1
0.01132716,0,0,0,1
0.01132726,1,0,0,1
0.0113415,0,0,0,1
0.01134158,1,0,0,1
0.01135584,0,0,0,1
0.01135592,1,0,0,1
0.01137016,0,0,0,1
0.01137026,1,0,0,1
0.0113845,0,0,0,1
0.01138458,1,0,0,1
0.01139884,0,0,0,1
0.01139892,1,0,0,1
0.01141316,0,0,0,1
0.01141326,1,0,0,1
0.0114275,0,0,0,1
0.01142758,1,0,0,1
0.01144184,0,0,0,1
0.01144192,1,0,0,1
0.01145616,0,0,0,1
0.01145626,1,0,0,1
0.0114705,0,0,0,1
