; CSV, generated by libsigrok4DSL 0.2.0 on Fri Jul 28 14:48:34 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 50.896 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.01000036,1,0,0,0
0.01001468,1,0,0,1
0.01005164,0,0,1,1
0.01005174,1,0,1,1
0.01006414,1,0,0,1
0.01006598,0,0,0,1
0.01006606,1,0,0,1
0.01008032,0,0,0,1
0.0100804,1,0,0,1
0.01009464,0,0,0,1
0.01009474,1,0,0,1
0.01010898,0,0,0,1
0.01010906,1,0,0,1
0.01012332,0,0,0,1
0.0101234,1,0,0,1
0.01013764,0,0,0,1
0.01013772,1,0,0,1
0.01015198,0,0,1,1
0.01015206,1,0,1,1
0.01016448,1,0,0,1
0.0101663,0,0,0,1
0.0101664,1,0,0,1
0.01018064,0,0,0,1
0.01018072,1,0,0,1
0.01019498,0,0,1,1
0.01019506,1,0,1,1
0.01020748,1,0,0,1
0.0102093,0,0,0,1
0.0102094,1,0,0,1
0.01022364,0,0,0,1
0.01022372,1,0,0,1
0.01023798,0,0,0,1
0.01023806,1,0,0,1
0.0102523,0,0,0,1
0.0102524,1,0,0,1
0.01026664,0,0,0,1
0.01026672,1,0,0,1
0.01028098,0,0,0,1
0.01028106,1,0,0,1
0.0102953,0,0,0,1
0.0102954,1,0,0,1
0.01030964,0,0,0,1
0.01030972,1,0,0,1
0.01032398,0,0,0,1
0.01032406,1,0,0,1
0.0103383,0,0,0,1
0.0103384,1,0,0,1
0.01035264,0,0,0,1
0.01035272,1,0,0,1
0.01036698,0,0,0,1
0.01036706,1,0,0,1
0.0103813,0,0,0,1
0.0103814,1,0,0,1
0.01039564,0,0,0,1
0.01039572,1,0,0,1
0.01040998,0,0,0,1
0.01041006,1,0,0,1
0.0104243,0,0,0,1
0.0104244,1,0,0,1
0.01043864,0,0,0,1
0.01043872,1,0,0,1
0.01045298,0,0,0,1
0.01045306,1,0,0,1
0.0104673,0,0,0,1
0.01046738,1,0,0,1
0.01048164,0,0,0,1
0.01048172,1,0,0,1
0.01049598,0,0,0,1
0.01049606,1,0,0,1
0.0105103,0,0,0,1
0.01051038,1,0,0,1
0.01052464,0,0,0,1
0.01052472,1,0,0,1
0.01053896,0,0,0,1
0.01053906,1,0,0,1
0.0105533,0,0,0,1
0.01055338,1,0,0,1
0.01056764,0,0,0,1
0.01056772,1,0,0,1
0.01058196,0,0,0,1
0.01058198,0,1,0,1
0.01058206,1,1,0,1
0.01059446,1,0,0,1
0.0105963,0,0,0,1
0.01059638,1,0,0,1
0.01061064,0,0,0,1
0.01061072,1,0,0,1
0.01062496,0,0,0,1
0.01062506,1,0,0,1
0.0106393,0,0,0,1
0.01063938,1,0,0,1
0.01065364,0,0,0,1
0.01065372,1,0,0,1
0.01066796,0,0,0,1
0.01066806,1,0,0,1
0.0106823,0,0,0,1
0.01068238,1,0,0,1
0.01069664,0,0,0,1
0.01069672,1,0,0,1
0.01071096,0,0,0,1
0.01071106,1,0,0,1
0.0107253,0,0,0,1
0.01072538,1,0,0,1
0.01073964,0,0,0,1
0.01073972,1,0,0,1
0.01075396,0,0,0,1
0.01075406,1,0,0,1
0.0107683,0,0,0,1
0.01076838,1,0,0,1
0.01078264,0,0,0,1
0.01078272,1,0,0,1
0.01079696,0,0,0,1
0.01079706,1,0,0,1
0.0108113,0,0,0,1
0.01081138,1,0,0,1
0.01082564,0,0,0,1
0.01082572,1,0,0,1
0.01083996,0,0,0,1
0.01084004,1,0,0,1
0.0108543,0,0,0,1
0.01085438,1,0,0,1
0.01086864,0,0,0,1
0.01086872,1,0,0,1
0.01088296,0,0,0,1
0.01088304,1,0,0,1
0.0108973,0,0,0,1
0.01089738,1,0,0,1
0.01091162,0,0,0,1
0.01091172,1,0,0,1
0.01092596,0,0,0,1
0.01092604,1,0,0,1
0.0109403,0,0,0,1
0.01094038,1,0,0,1
0.01095462,0,0,0,1
0.01095472,1,0,0,1
0.01096896,0,0,0,1
0.01096904,1,0,0,1
0.0109833,0,0,0,1
0.01098338,1,0,0,1
0.01099762,0,0,0,1
0.01099772,1,0,0,1
0.01101196,0,0,0,1
0.01101204,1,0,0,1
0.0110263,0,0,0,1
0.01102638,1,0,0,1
0.01104062,0,0,0,1
0.01104072,1,0,0,1
0.01105496,0,0,0,1
0.01105504,1,0,0,1
0.0110693,0,0,0,1
0.01106938,1,0,0,1
0.01108362,0,0,0,1
0.01108372,1,0,0,1
0.01109796,0,0,0,1
0.01109804,1,0,0,1
0.0111123,0,0,0,1
0.01111238,1,0,0,1
0.01112662,0,0,0,1
0.01112672,1,0,0,1
0.01114096,0,0,0,1
0.01114104,1,0,0,1
0.0111553,0,0,0,1
0.01115538,1,0,0,1
0.01116962,0,0,0,1
0.01116972,1,0,0,1
0.01118396,0,0,0,1
0.01118404,1,0,0,1
0.0111983,0,0,0,1
0.01119838,1,0,0,1
0.01121262,0,0,0,1
0.0112127,1,0,0,1
0.01122696,0,0,0,1
