; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:47:19 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 50.896 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.01000024,1,0,0,0
0.01001458,1,0,0,1
0.01005154,0,0,0,1
0.01005162,1,0,0,1
0.01006586,0,0,0,1
0.01006596,1,0,0,1
0.0100802,0,0,0,1
0.01008028,1,0,0,1
0.01009454,0,0,0,1
0.01009462,1,0,0,1
0.01010886,0,0,0,1
0.01010896,1,0,0,1
0.0101232,0,0,0,1
0.01012328,1,0,0,1
0.01013754,0,0,0,1
0.01013762,1,0,0,1
0.01015186,0,0,0,1
0.01015196,1,0,0,1
0.0101662,0,0,0,1
0.01016628,1,0,0,1
0.01018054,0,0,0,1
0.01018062,1,0,0,1
0.01019486,0,0,0,1
0.01019496,1,0,0,1
0.0102092,0,0,0,1
0.01020928,1,0,0,1
0.01022354,0,0,0,1
0.01022362,1,0,0,1
0.01023786,0,0,0,1
0.01023796,1,0,0,1
0.0102522,0,0,0,1
0.01025228,1,0,0,1
0.01026654,0,0,0,1
0.01026662,1,0,0,1
0.01028086,0,0,0,1
0.01028096,1,0,0,1
0.0102952,0,0,1,1
0.01029528,1,0,1,1
0.0103077,1,0,0,1
0.01030954,0,0,0,1
0.01030962,1,0,0,1
0.01032386,0,0,0,1
0.01032396,1,0,0,1
0.0103382,0,0,0,1
0.01033828,1,0,0,1
0.01035254,0,0,0,1
0.01035262,1,0,0,1
0.01036686,0,0,0,1
0.01036696,1,0,0,1
0.0103812,0,0,0,1
0.01038128,1,0,0,1
0.01039554,0,0,0,1
0.01039562,1,0,0,1
0.01040986,0,0,0,1
0.01040994,1,0,0,1
0.0104242,0,0,0,1
0.01042428,1,0,0,1
0.01043852,0,0,0,1
0.01043862,1,0,0,1
0.01045286,0,0,0,1
0.01045294,1,0,0,1
0.0104672,0,0,0,1
0.01046728,1,0,0,1
0.01048152,0,0,0,1
0.01048162,1,0,0,1
0.01049586,0,0,1,1
0.01049594,1,0,1,1
0.01050836,1,0,0,1
0.0105102,0,0,0,1
0.01051028,1,0,0,1
0.01052452,0,0,0,1
0.01052462,1,0,0,1
0.01053886,0,0,0,1
0.01053894,1,0,0,1
0.0105532,0,0,0,1
0.01055328,1,0,0,1
0.01056752,0,0,0,1
0.01056762,1,0,0,1
0.01058186,0,0,0,1
0.01058194,1,0,0,1
0.0105962,0,0,0,1
0.01059628,1,0,0,1
0.01061052,0,0,0,1
0.01061062,1,0,0,1
0.01062486,0,0,0,1
0.01062494,1,0,0,1
0.0106392,0,0,0,1
0.01063928,1,0,0,1
0.01065352,0,0,0,1
0.01065362,1,0,0,1
0.01066786,0,0,0,1
0.01066794,1,0,0,1
0.0106822,0,0,0,1
0.01068228,1,0,0,1
0.01069652,0,0,0,1
0.01069662,1,0,0,1
0.01071086,0,0,0,1
0.01071094,1,0,0,1
0.0107252,0,0,1,1
0.01072528,1,0,1,1
0.0107377,1,0,0,1
0.01073952,0,0,0,1
0.01073962,1,0,0,1
0.01075386,0,0,1,1
0.01075394,1,0,1,1
0.01076636,1,0,0,1
0.0107682,0,0,0,1
0.01076828,1,0,0,1
0.01078252,0,0,0,1
0.0107826,1,0,0,1
0.01079686,0,0,0,1
0.01079694,1,0,0,1
0.01081118,0,0,0,1
0.01081128,1,0,0,1
0.01082552,0,0,0,1
0.0108256,1,0,0,1
0.01083986,0,0,0,1
0.01083994,1,0,0,1
0.01085418,0,0,0,1
0.01085428,1,0,0,1
0.01086852,0,0,0,1
0.0108686,1,0,0,1
0.01088286,0,0,0,1
0.01088294,1,0,0,1
0.01089718,0,0,0,1
0.01089728,1,0,0,1
0.01091152,0,0,0,1
0.0109116,1,0,0,1
0.01092586,0,0,0,1
0.01092594,1,0,0,1
0.01094018,0,0,0,1
0.01094028,1,0,0,1
0.01095452,0,0,1,1
0.0109546,1,0,1,1
0.01096702,1,0,0,1
0.01096886,0,0,0,1
0.01096894,1,0,0,1
0.01098318,0,0,0,1
0.0109832,0,0,1,1
0.01098328,1,0,1,1
0.01099568,1,0,0,1
0.01099752,0,0,0,1
0.0109976,1,0,0,1
0.01101186,0,0,0,1
0.01101194,1,0,0,1
0.01102618,0,0,0,1
0.01102628,1,0,0,1
0.01104052,0,0,0,1
0.0110406,1,0,0,1
0.01105486,0,0,0,1
0.01105494,1,0,0,1
0.01106918,0,0,0,1
0.01106928,1,0,0,1
0.01108352,0,0,0,1
0.0110836,1,0,0,1
0.01109786,0,0,0,1
0.01109794,1,0,0,1
0.01111218,0,0,0,1
0.01111226,1,0,0,1
0.01112652,0,0,0,1
0.0111266,1,0,0,1
0.01114086,0,0,0,1
0.01114094,1,0,0,1
0.01115518,0,0,0,1
0.01115526,1,0,0,1
0.01116952,0,0,0,1
0.0111696,1,0,0,1
0.01118384,0,0,0,1
0.01118386,0,0,1,1
0.01118394,1,0,1,1
0.01119636,1,0,0,1
0.01119818,0,0,0,1
0.01119826,1,0,0,1
0.01121252,0,0,0,1
0.0112126,1,0,0,1
0.01122684,0,0,0,1
0.01122694,1,0,0,1
0.01124118,0,0,0,1
0.01124126,1,0,0,1
0.01125552,0,0,0,1
0.0112556,1,0,0,1
0.01126984,0,0,0,1
0.01126994,1,0,0,1
0.01128418,0,0,0,1
0.01128426,1,0,0,1
0.01129852,0,0,0,1
0.0112986,1,0,0,1
0.01131284,0,0,0,1
0.01131294,1,0,0,1
0.01132718,0,0,0,1
0.01132726,1,0,0,1
0.01134152,0,0,0,1
0.0113416,1,0,0,1
0.01135584,0,0,0,1
0.01135594,1,0,0,1
0.01137018,0,0,0,1
0.01137026,1,0,0,1
0.01138452,0,0,0,1
0.0113846,1,0,0,1
0.01139884,0,0,0,1
0.01139894,1,0,0,1
0.01141318,0,0,1,1
0.01141326,1,0,1,1
0.01142568,1,0,0,1
0.01142752,0,0,0,1
0.0114276,1,0,0,1
